Package,Version,Location,Installer
-ip,20.0.2,d:\programfiles\python37\lib\site-packages,pip
absl-py,0.8.0,d:\programfiles\python37\lib\site-packages
aiohttp,3.6.0,d:\programfiles\python37\lib\site-packages,pip
altgraph,0.16.1,d:\programfiles\python37\lib\site-packages,pip
asn1crypto,0.24.0,d:\programfiles\python37\lib\site-packages,pip
astor,0.8.0,d:\programfiles\python37\lib\site-packages,pip
astroid,2.3.2,d:\programfiles\python37\lib\site-packages,pip
astropy,3.2.3,d:\programfiles\python37\lib\site-packages,pip
async-timeout,3.0.1,d:\programfiles\python37\lib\site-packages,pip
asyncio,3.4.3,d:\programfiles\python37\lib\site-packages,pip
atomicwrites,1.3.0,d:\programfiles\python37\lib\site-packages,pip
attrs,19.3.0,d:\programfiles\python37\lib\site-packages,pip
Automat,0.7.0,d:\programfiles\python37\lib\site-packages,pip
autopep8,1.4.4,d:\programfiles\python37\lib\site-packages,pip
backcall,0.1.0,d:\programfiles\python37\lib\site-packages,pip
baidu-aip,2.2.17.0,d:\programfiles\python37\lib\site-packages
basemap,1.2.1,d:\programfiles\python37\lib\site-packages,pip
beautifulsoup4,4.8.0,d:\programfiles\python37\lib\site-packages,pip
bleach,3.1.4,d:\programfiles\python37\lib\site-packages,pip
bokeh,1.3.4,d:\programfiles\python37\lib\site-packages
bs4,0.0.1,d:\programfiles\python37\lib\site-packages,pip
certifi,2019.6.16,d:\programfiles\python37\lib\site-packages,pip
cffi,1.12.3,d:\programfiles\python37\lib\site-packages,pip
chardet,3.0.4,d:\programfiles\python37\lib\site-packages,pip
cli-helpers,1.2.1,d:\programfiles\python37\lib\site-packages,pip
Click,7.0,d:\programfiles\python37\lib\site-packages,pip
colorama,0.4.3,d:\programfiles\python37\lib\site-packages,pip
colorlover,0.3.0,d:\programfiles\python37\lib\site-packages,pip
comtypes,1.1.7,d:\programfiles\python37\lib\site-packages,pip
configobj,5.0.6,d:\programfiles\python37\lib\site-packages,pip
confuse,1.0.0,d:\programfiles\python37\lib\site-packages,pip
constantly,15.1.0,d:\programfiles\python37\lib\site-packages,pip
cryptography,2.7,d:\programfiles\python37\lib\site-packages,pip
cssselect,1.1.0,d:\programfiles\python37\lib\site-packages,pip
cufflinks,0.16,d:\programfiles\python37\lib\site-packages
cycler,0.10.0,d:\programfiles\python37\lib\site-packages,pip
dash,1.10.0,d:\programfiles\python37\lib\site-packages,pip
dash-core-components,1.9.0,d:\programfiles\python37\lib\site-packages,pip
dash-html-components,1.0.3,d:\programfiles\python37\lib\site-packages,pip
dash-renderer,1.3.0,d:\programfiles\python37\lib\site-packages,pip
dash-table,4.6.2,d:\programfiles\python37\lib\site-packages,pip
